locator_type;mutant;result;failure_cause;failed_locator
hook;mutant_delta(label)_text_content_modification.txt;success;"N/A";"N/A"
hook;mutant_delta(label)_text_content_removal.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_html_tag_insertion.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_html_tag_movement_anywhere.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_html_tag_movement_between_templates.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@x-test-tpl-html-1]//*[@x-test-hook-app-root-9]//*[@x-test-tpl-div-1]//*[@x-test-hook-main-3]//*[@x-test-tpl-section-1]//*[@x-test-hook-input-19]"}"
hook;mutant_epsilon(section)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_text_content_modification.txt;success;"N/A";"N/A"
hook;mutant_epsilon(section)_text_content_removal.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_attribute_removal.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_attribute_value_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_insertion.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_movement_anywhere.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_movement_between_templates.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@x-test-tpl-html-1]//*[@x-test-hook-app-root-9]//*[@x-test-tpl-div-1]//*[@x-test-hook-main-3]//*[@x-test-tpl-section-1]//*[@x-test-hook-input-19]"}"
hook;mutant_gamma(div)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_type_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_text_content_modification.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_text_content_removal.txt;success;"N/A";"N/A"
absolute;mutant_alpha(input)_attribute_identifier_modification.txt;success;"N/A";"N/A"
absolute;mutant_alpha(input)_attribute_removal.txt;success;"N/A";"N/A"
absolute;mutant_alpha(input)_attribute_value_modification.txt;success;"N/A";"N/A"
absolute;mutant_alpha(input)_html_tag_insertion.txt;success;"N/A";"N/A"
absolute;mutant_alpha(input)_html_tag_movement_anywhere.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/div/main/app-home-page/section/form/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/input"}"
absolute;mutant_alpha(input)_html_tag_movement_between_templates.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/div/main/app-home-page/section/form/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/input"}"
