locator_type;mutant;result;failure_cause;failed_locator
hook;mutant_gamma(div)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_removal.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
hook;mutant_gamma(div)_html_tag_type_modification.txt;success;"N/A";"N/A"
absolute;mutant_alpha(input)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_alpha(input)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_alpha(input)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_alpha(input)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_alpha(input)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_alpha(input)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[1]/div[1]/div[2]/div/input"}"
absolute;mutant_alpha(input)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_alpha(input)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_beta(div)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_text_content_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_delta_prev(label)_text_content_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_epsilon(main)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_epsilon(main)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_epsilon(main)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_epsilon(main)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_epsilon(main)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_epsilon(main)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
absolute;mutant_gamma(div)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"/html/body/app-root/main/section/form/div[1]/div/div[2]/div[1]/div[4]/button"}"
relative;mutant_alpha(input)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_alpha(input)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_alpha(input)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_alpha(input)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_alpha(input)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_alpha(input)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_alpha(input)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
relative;mutant_alpha(input)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_beta(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
relative;mutant_beta(div)_attribute_removal.txt;success;"N/A";"N/A"
relative;mutant_beta(div)_attribute_value_modification.txt;success;"N/A";"N/A"
relative;mutant_beta(div)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_beta(div)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_beta(div)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_beta(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
relative;mutant_beta(div)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_delta_prev(label)_attribute_identifier_modification.txt;success;"N/A";"N/A"
relative;mutant_delta_prev(label)_attribute_removal.txt;success;"N/A";"N/A"
relative;mutant_delta_prev(label)_attribute_value_modification.txt;success;"N/A";"N/A"
relative;mutant_delta_prev(label)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_delta_prev(label)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_delta_prev(label)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_delta_prev(label)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_delta_prev(label)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_delta_prev(label)_text_content_modification.txt;success;"N/A";"N/A"
relative;mutant_delta_prev(label)_text_content_removal.txt;success;"N/A";"N/A"
relative;mutant_epsilon(main)_attribute_identifier_modification.txt;success;"N/A";"N/A"
relative;mutant_epsilon(main)_attribute_removal.txt;success;"N/A";"N/A"
relative;mutant_epsilon(main)_attribute_value_modification.txt;success;"N/A";"N/A"
relative;mutant_epsilon(main)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_epsilon(main)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
relative;mutant_epsilon(main)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_gamma(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
relative;mutant_gamma(div)_attribute_removal.txt;success;"N/A";"N/A"
relative;mutant_gamma(div)_attribute_value_modification.txt;success;"N/A";"N/A"
relative;mutant_gamma(div)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_gamma(div)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_gamma(div)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
relative;mutant_gamma(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
relative;mutant_gamma(div)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
robula;mutant_alpha(input)_attribute_identifier_modification.txt;success;"N/A";"N/A"
robula;mutant_alpha(input)_attribute_removal.txt;success;"N/A";"N/A"
robula;mutant_alpha(input)_attribute_value_modification.txt;success;"N/A";"N/A"
robula;mutant_alpha(input)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
robula;mutant_alpha(input)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
robula;mutant_alpha(input)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//*[@type='text']"}"
robula;mutant_alpha(input)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
robula;mutant_alpha(input)_html_tag_type_modification.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_attribute_removal.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_attribute_value_modification.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_html_tag_removal.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
robula;mutant_beta(div)_html_tag_type_modification.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_attribute_identifier_modification.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_attribute_removal.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_attribute_value_modification.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_html_tag_removal.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_html_tag_type_modification.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_text_content_modification.txt;success;"N/A";"N/A"
robula;mutant_delta_prev(label)_text_content_removal.txt;success;"N/A";"N/A"
robula;mutant_epsilon(main)_attribute_identifier_modification.txt;success;"N/A";"N/A"
robula;mutant_epsilon(main)_attribute_removal.txt;success;"N/A";"N/A"
robula;mutant_epsilon(main)_attribute_value_modification.txt;success;"N/A";"N/A"
robula;mutant_epsilon(main)_html_tag_removal.txt;success;"N/A";"N/A"
robula;mutant_epsilon(main)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
robula;mutant_epsilon(main)_html_tag_type_modification.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_attribute_removal.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_attribute_value_modification.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_html_tag_movement_to_root.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_html_tag_movement_within_container.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_html_tag_removal.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
robula;mutant_gamma(div)_html_tag_type_modification.txt;success;"N/A";"N/A"
selenium;mutant_alpha(input)_attribute_identifier_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_alpha(input)_attribute_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_alpha(input)_attribute_value_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_alpha(input)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_alpha(input)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_alpha(input)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_alpha(input)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
selenium;mutant_alpha(input)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_beta(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
selenium;mutant_beta(div)_attribute_removal.txt;success;"N/A";"N/A"
selenium;mutant_beta(div)_attribute_value_modification.txt;success;"N/A";"N/A"
selenium;mutant_beta(div)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_beta(div)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_beta(div)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_beta(div)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
selenium;mutant_beta(div)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_delta_prev(label)_attribute_identifier_modification.txt;success;"N/A";"N/A"
selenium;mutant_delta_prev(label)_attribute_removal.txt;success;"N/A";"N/A"
selenium;mutant_delta_prev(label)_attribute_value_modification.txt;success;"N/A";"N/A"
selenium;mutant_delta_prev(label)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_delta_prev(label)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_delta_prev(label)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_delta_prev(label)_html_tag_sibling_insertion.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_delta_prev(label)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_delta_prev(label)_text_content_modification.txt;success;"N/A";"N/A"
selenium;mutant_delta_prev(label)_text_content_removal.txt;success;"N/A";"N/A"
selenium;mutant_epsilon(main)_attribute_identifier_modification.txt;success;"N/A";"N/A"
selenium;mutant_epsilon(main)_attribute_removal.txt;success;"N/A";"N/A"
selenium;mutant_epsilon(main)_attribute_value_modification.txt;success;"N/A";"N/A"
selenium;mutant_epsilon(main)_html_tag_removal.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_epsilon(main)_html_tag_sibling_insertion.txt;success;"N/A";"N/A"
selenium;mutant_epsilon(main)_html_tag_type_modification.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_gamma(div)_attribute_identifier_modification.txt;success;"N/A";"N/A"
selenium;mutant_gamma(div)_attribute_removal.txt;success;"N/A";"N/A"
selenium;mutant_gamma(div)_attribute_value_modification.txt;success;"N/A";"N/A"
selenium;mutant_gamma(div)_html_tag_movement_to_root.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
selenium;mutant_gamma(div)_html_tag_movement_within_container.txt;failure;"Selenium: NoSuchElementException";"{"method":"xpath","selector":"//input[@id='tagsQuery']"}"
